name,lat,lon
Hong Kong International Airport,22.3080,113.9185
Shanghai Pudong International Airport,31.1443,121.8083
Ted Stevens Anchorage International Airport,61.1743,-149.9985
Louisville Muhammad Ali International Airport,38.1744,-85.7360
Miami International Airport,25.7959,-80.2870
Memphis International Airport,35.0425,-89.9767
Incheon International Airport,37.4602,126.4407
Hamad International Airport,25.2731,51.6081
Taiwan Taoyuan International Airport,25.0797,121.2342
Guangzhou Baiyun International Airport,23.3924,113.2990
Chicago O’Hare International Airport,41.9742,-87.9073
Los Angeles International Airport,33.9416,-118.4085
John F. Kennedy International Airport,40.6413,-73.7781
Dallas/Fort Worth International Airport,32.8998,-97.0403
Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678
Toronto Pearson International Airport,43.6777,-79.6248
Frankfurt Airport,50.0379,8.5622
Leipzig/Halle Airport,51.4239,12.2364
Amsterdam Airport Schiphol,52.3105,4.7683
Paris Charles de Gaulle Airport,49.0097,2.5479
Liège Airport,50.6433,5.4432
Luxembourg Airport,49.6233,6.2044
Heathrow Airport,51.4700,-0.4543
Madrid-Barajas Airport,40.4983,-3.5676
Milan Malpensa Airport,45.6301,8.7231
Istanbul Airport,41.2753,28.7519
Beijing Capital International Airport,40.0799,116.6031
Shenzhen Bao’an International Airport,22.6393,113.8108
Singapore Changi Airport,1.3644,103.9915
Narita International Airport,35.7720,140.3929
Suvarnabhumi Airport,13.6900,100.7501
Al Maktoum International Airport,24.8964,55.1614
Dubai International Airport,25.2532,55.3657
King Khalid International Airport,24.9576,46.6988
O. R. Tambo International Airport,-26.1337,28.2420
Jomo Kenyatta International Airport,-1.3192,36.9278
Cairo International Airport,30.1219,31.4056
Addis Ababa Bole International Airport,8.9806,38.7993
São Paulo/Guarulhos International Airport,-23.4356,-46.4731
El Dorado International Airport,4.7016,-74.1469
Arturo Merino Benítez International Airport,-33.3930,-70.7858
Jorge Chávez International Airport,-12.0219,-77.1143
