solved,objective,total_cost,total_emissions,total_time,consolidation_rate,share_road,share_rail,share_ship,share_air,method,runtime,status,price
29,4.946802394096479,5536091.53,715994.1835,713231,0.4827586206896552,0.04281931894073917,0.03405197350856291,0.7021824821143513,0.22094622543634665,heuristic,4.919897109000885,Feasible,0.0
29,4.938562914495624,5570451.552708333,716293.3875,713231,0.4482758620689655,0.04193189259255662,0.034074792789375995,0.7026530363169545,0.2213402783011128,heuristic,4.133803745000478,Feasible,0.05
29,4.932881471839131,5606444.94835,716024.1835,713231,0.4482758620689655,0.04281931894073917,0.03405197350856291,0.7021824821143513,0.22094622543634665,heuristic,4.050756000000547,Feasible,0.1
29,4.91952785890842,5676731.3762,715788.231,714731,0.4827586206896552,0.041901412927939925,0.035057039288998094,0.702116183599877,0.22092536418318492,heuristic,4.902374793997296,Feasible,0.2
29,4.904018459086196,5744318.790250001,716221.6675,711851,0.41379310344827586,0.040982566480079405,0.03517360672865199,0.7023619205726135,0.22148190621865518,heuristic,5.324697174000903,Feasible,0.3
29,4.877822278339505,5884844.12375,716251.6675,711791,0.41379310344827586,0.040982566480079405,0.03517360672865199,0.7023619205726135,0.22148190621865518,heuristic,4.988137087999348,Feasible,0.5
29,4.850468850708393,6061519.784291667,716062.4635,711791,0.3793103448275862,0.04187119643417346,0.03515003652973751,0.7018912605602479,0.2210875064758411,heuristic,5.110695014001976,Feasible,0.75
29,4.819936475482631,6235944.9575,716261.6675,711791,0.41379310344827586,0.040982566480079405,0.03517360672865199,0.7023619205726135,0.22148190621865518,heuristic,5.0655199920001905,Feasible,1.0
29,4.771402513639278,6587789.131916667,716062.4635,711791,0.3793103448275862,0.04187119643417346,0.03515003652973751,0.7018912605602479,0.2210875064758411,heuristic,5.03425989400057,Feasible,1.5
29,4.724474878744056,6937835.363666667,715922.4635,711791,0.41379310344827586,0.04187119643417346,0.03515003652973751,0.7018912605602479,0.2210875064758411,heuristic,4.9511046890002035,Feasible,2.0
