solved,objective,total_cost,total_emissions,total_time,consolidation_rate,share_road,share_rail,share_ship,share_air,method,runtime,status,sweep,t
29,4.946802394096479,5536091.53,715994.1835,713231,0.4827586206896552,0.04281931894073917,0.03405197350856291,0.7021824821143513,0.22094622543634665,heuristic,4.993478745000175,Feasible,cost_emiss,0.0
29,4.869335699606648,5535100.4366666665,716032.4635,711791,0.41379310344827586,0.04187119643417346,0.03515003652973751,0.7018912605602479,0.2210875064758411,heuristic,4.435674210999423,Feasible,cost_emiss,0.1
29,4.788785577489889,5535085.49,716366.5515,711791,0.3793103448275862,0.04134611620721491,0.03490002733790928,0.7022935196844646,0.2214603367704113,heuristic,5.141203626000788,Feasible,cost_emiss,0.2
29,4.708591882167988,5534785.49,716306.5515,711791,0.41379310344827586,0.04134611620721491,0.03490002733790928,0.7022935196844646,0.2214603367704113,heuristic,5.115937995000422,Feasible,cost_emiss,0.3
29,4.629688151535071,5537980.49,716076.5515,716171,0.4482758620689655,0.04134611620721491,0.03490002733790928,0.7022935196844646,0.2214603367704113,heuristic,5.278322911999567,Feasible,cost_emiss,0.4
29,4.551170460855802,5539362.636666667,715887.3475,716111,0.41379310344827586,0.04223441608359487,0.03487664274343386,0.7018229513092159,0.2210659898637553,heuristic,5.373388937001437,Feasible,cost_emiss,0.5
29,4.46807459246415,5542778.656666667,715619.1884999999,724751,0.4482758620689655,0.03970720832874374,0.03680718424406228,0.7020895805588131,0.22139602686838097,heuristic,5.614824985997984,Feasible,cost_emiss,0.6
29,4.380674264570587,5543185.403333333,714547.4045,721871,0.4482758620689655,0.042497642701094115,0.036729807165915306,0.700613628473458,0.22015892165953257,heuristic,6.393311779000214,Feasible,cost_emiss,0.7
29,4.300750281748113,5549300.166666667,713836.427,723611,0.4482758620689655,0.04235920427310855,0.04035053840507894,0.6983313407232098,0.21895891659860273,heuristic,8.336569028000667,Feasible,cost_emiss,0.8
29,4.220201678815078,5563860.166666667,713716.427,741851,0.5172413793103449,0.04235920427310855,0.04035053840507894,0.6983313407232098,0.21895891659860273,heuristic,10.941620298999624,Feasible,cost_emiss,0.9
29,4.131108022451528,5591420.166666667,713616.427,769931,0.5862068965517241,0.04235920427310855,0.04035053840507894,0.6983313407232098,0.21895891659860273,heuristic,19.005673808998836,Feasible,cost_emiss,1.0
29,4.551170460855802,5539362.636666667,715887.3475,716111,0.41379310344827586,0.04223441608359487,0.03487664274343386,0.7018229513092159,0.2210659898637553,heuristic,5.122621021997475,Feasible,sustain_time,0.0
29,4.914171895013617,5537615.796666667,718008.664,704893,0.3448275862068966,0.04668245361661318,0.029899956264457767,0.7022249693060802,0.22119262081284877,heuristic,4.608787160002976,Feasible,sustain_time,0.1
29,5.258853464743132,5547326.62,719094.3465,703272,0.3793103448275862,0.050475458696080604,0.028162986003057958,0.7001161555857436,0.22124539971511775,heuristic,4.433991803001845,Feasible,sustain_time,0.2
29,5.6091369238781335,5593210.653333333,730817.0395,697883,0.3103448275862069,0.04675568093390314,0.027294996585670542,0.6992384804379914,0.22671084204243497,heuristic,4.491733982998994,Feasible,sustain_time,0.3
29,5.834672959404408,7152255.180000001,1037968.2355,600744,0.3448275862068966,0.047249153412527396,0.025333362701667177,0.5764642376894279,0.35095324619637747,heuristic,4.21344018200034,Feasible,sustain_time,0.4
29,5.92507032923626,9523655.596666668,1497957.6485,438845,0.27586206896551724,0.04006532957779168,0.02614351276786399,0.39241694086160694,0.5413742167927375,heuristic,4.068058976998145,Feasible,sustain_time,0.5
29,5.447799292514259,13404574.193333333,2233696.0625,220474,0.4482758620689655,0.034298615682376035,0.024891771164966908,0.11825009806861383,0.8225595150840433,heuristic,3.4404572750027,Feasible,sustain_time,0.6
29,4.5355795902616265,14508019.0,2447044.501,126803,0.5517241379310345,0.02675335987403176,0.024018733822511257,0.03864731292798834,0.9105805933754686,heuristic,4.457703357002174,Feasible,sustain_time,0.7
29,3.4008585382960455,15441593.033333333,2614818.6475,89993,0.6551724137931034,0.02649102980885479,0.023269109286373275,0.00595730243259878,0.9442825584721731,heuristic,3.899094406002405,Feasible,sustain_time,0.8
29,2.087436444991699,15519789.46,2630113.9445,81887,0.6551724137931034,0.025907022717630217,0.02328727430239171,0.0,0.9508057029799781,heuristic,3.7736273800001072,Feasible,sustain_time,0.9
29,0.7675563545384066,15538636.313333334,2634526.8485,81927,0.5862068965517241,0.024037795421858688,0.02329150509644262,0.0,0.9526706994816986,heuristic,4.0143961569992825,Feasible,sustain_time,1.0
